Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%,Height (Inches),height_scaled,weight_scaled,DBSCAN Results,IsolationForest Results,Height-Weight PCA,PCA Z-Score Results
Aaron Gordon,ORL,24,6-8,235,Arizona,USA,2014,1,4,62,14.4,7.7,3.7,-1.2,5.0%,18.1%,20.5%,51.6%,16.5%,80,0.49105859618326075,0.7358747310870706,Core Data,Core Data,0.8675728757766233,Core Data
Aaron Holiday,IND,23,6-0,185,UCLA,USA,2018,1,23,66,9.5,2.4,3.4,2.2,1.3%,7.7%,18.2%,52.1%,18.8%,72,-1.8518500611420516,-1.33409087959601,Core Data,Core Data,-2.252800443655733,Core Data
Abdel Nader,OKC,26,6-5,225,Iowa State,Egypt,2016,2,58,55,6.3,1.8,0.7,-4.2,1.6%,9.5%,16.4%,59.1%,6.8%,77,-0.3875321503137314,0.3218816089504544,Core Data,Core Data,-0.04642194298654255,Core Data
Adam Mokoka,CHI,21,6-5,190,None,France,Undrafted,Undrafted,Undrafted,11,2.9,0.9,0.4,17.1,5.7%,2.9%,11.0%,53.8%,4.3%,77,-0.3875321503137314,-1.127094318527702,Core Data,Core Data,-1.0710026470824139,Core Data
Admiral Schofield,WAS,23,6-5,241,Tennessee,United Kingdo...,2019,2,42,33,3.0,1.4,0.5,-7.1,1.7%,10.6%,11.8%,50.2%,5.7%,77,-0.3875321503137314,0.9842706043690402,Core Data,Core Data,0.4219578074572844,Core Data
Al Horford,PHI,34,6-9,240,Florida,Dominican Rep...,2007,1,3,67,11.9,6.8,4.0,3.3,5.1%,17.1%,17.3%,53.6%,18.7%,81,0.7839221783489247,0.9428712921553787,Core Data,Core Data,1.221027372702244,Core Data
Al-Farouq Aminu,ORL,29,6-8,220,Wake Forest,USA,2010,1,8,18,4.3,4.8,1.2,-5.4,5.3%,15.8%,12.7%,39.5%,8.8%,80,0.49105859618326075,0.11488504788214636,Core Data,Core Data,0.4284668597355356,Core Data
Alec Burks,PHI,28,6-6,214,Colorado,USA,2011,1,12,66,15.0,4.3,2.9,-6.3,2.5%,13.1%,23.0%,56.1%,17.9%,78,-0.09466856814806733,-0.13351082539982334,Core Data,Core Data,-0.1613471965047489,Core Data
Alen Smailagic,GSW,19,6-10,215,None,Serbia,2019,2,39,14,4.2,1.9,0.9,-3.0,7.7%,11.0%,17.5%,61.0%,13.3%,82,1.0767857605145887,-0.09211151318616172,Core Data,Core Data,0.696269837545689,Core Data
Alex Caruso,LAL,26,6-5,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,64,5.5,1.9,1.9,9.8,1.4%,8.5%,13.6%,52.5%,13.8%,77,-0.3875321503137314,-1.2926915673823485,Core Data,Core Data,-1.1880975846933706,Core Data
Alex Len,SAC,27,7-0,250,Maryland,Ukraine,2013,1,5,55,8.0,5.8,0.9,-5.4,9.4%,20.2%,17.6%,60.0%,8.3%,84,1.662512924845917,1.3568644142919948,Core Data,Core Data,2.13502219146541,Core Data
Alfonzo McKinnie,CLE,27,6-7,215,None,USA,Undrafted,Undrafted,Undrafted,40,4.6,2.8,0.4,-7.4,6.1%,13.1%,14.7%,49.3%,3.2%,79,0.1981950140175967,-0.09211151318616172,Core Data,Core Data,0.075012362809915,Core Data
