skaterFullName,year_season_start,season_number,positionCode,goals,gamesPlayed
Alex Ovechkin,2005,1.0,L,52,81
Alex Ovechkin,2006,2.0,L,46,82
Alex Ovechkin,2007,3.0,L,65,82
Alex Ovechkin,2008,4.0,L,56,79
Alex Ovechkin,2009,5.0,L,50,72
Alex Ovechkin,2010,6.0,L,32,79
Alex Ovechkin,2011,7.0,L,38,78
Alex Ovechkin,2012,8.0,L,32,48
Alex Ovechkin,2013,9.0,L,51,78
Alex Ovechkin,2014,10.0,L,53,81
Alex Ovechkin,2015,11.0,L,50,79
Alex Ovechkin,2016,12.0,L,33,82
Alex Ovechkin,2017,13.0,L,49,82
Alex Ovechkin,2018,14.0,L,51,81
Alex Ovechkin,2019,15.0,L,48,68
