skaterFullName,year_season_start,season_number,goals,gamesPlayed
Alex Kovalev,1992,1,20,65
Alex Kovalev,1993,2,23,76
Alex Kovalev,1994,3,13,48
Alex Kovalev,1995,4,24,81
Alex Kovalev,1996,5,13,45
Alex Kovalev,1997,6,23,73
Alex Kovalev,1998,7,23,77
Alex Kovalev,1999,8,26,82
Alex Kovalev,2000,9,44,79
Alex Kovalev,2001,10,32,67
Alex Kovalev,2002,11,37,78
Alex Kovalev,2003,12,14,78
Alex Kovalev,2005,13,23,69
Alex Kovalev,2006,14,18,73
Alex Kovalev,2007,15,35,82
Alex Kovalev,2008,16,26,78
Alex Kovalev,2009,17,18,77
Alex Kovalev,2010,18,16,74
Alex Kovalev,2012,19,2,14
Alex Ovechkin,2005,1,52,81
Alex Ovechkin,2006,2,46,82
Alex Ovechkin,2007,3,65,82
Alex Ovechkin,2008,4,56,79
Alex Ovechkin,2009,5,50,72
Alex Ovechkin,2010,6,32,79
Alex Ovechkin,2011,7,38,78
Alex Ovechkin,2012,8,32,48
Alex Ovechkin,2013,9,51,78
Alex Ovechkin,2014,10,53,81
Alex Ovechkin,2015,11,50,79
Alex Ovechkin,2016,12,33,82
Alex Ovechkin,2017,13,49,82
Alex Ovechkin,2018,14,51,81
Alex Ovechkin,2019,15,48,68
Alexander Mogilny,1990,1,30,62
Alexander Mogilny,1991,2,39,67
Alexander Mogilny,1992,3,76,77
Alexander Mogilny,1993,4,32,66
Alexander Mogilny,1994,5,19,44
Alexander Mogilny,1995,6,55,79
Alexander Mogilny,1996,7,31,76
Alexander Mogilny,1997,8,18,51
Alexander Mogilny,1998,9,14,59
Alexander Mogilny,1999,10,24,59
Alexander Mogilny,2000,11,43,75
Alexander Mogilny,2001,12,24,66
Alexander Mogilny,2002,13,33,73
Alexander Mogilny,2003,14,8,37
Alexander Mogilny,2005,15,12,34
Bill Guerin,1991,1,0,5
Bill Guerin,1992,2,14,65
Bill Guerin,1993,3,25,81
Bill Guerin,1994,4,12,48
Bill Guerin,1995,5,23,80
Bill Guerin,1996,6,29,82
Bill Guerin,1997,7,18,59
Bill Guerin,1998,8,30,80
Bill Guerin,1999,9,24,70
Bill Guerin,2000,10,40,85
Bill Guerin,2001,11,41,78
Bill Guerin,2002,12,25,64
Bill Guerin,2003,13,34,82
Bill Guerin,2005,14,13,70
Bill Guerin,2006,15,36,77
Bill Guerin,2007,16,23,81
